,title,artist,title_lower,artist_lower,artist_lower_clean,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
86,Put Your Records On,Ritt Momney,put your records on,ritt momney,ritt momney,0.399,0.491,6.0,-10.778,0.0,0.0538,0.0563,0.00089,0.11,0.151,91.066,6AGOKlMZWLCaEJGnaROtF9
87,Heather,Conan Gray,heather,conan gray,conan gray,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA
88,24,Money Man Featuring Lil Baby,24,money man featuring lil baby,money man lil baby,0.868,0.638,2.0,-7.746,1.0,0.0736,0.146,0.0565,0.0931,0.459,126.03,7v96VvFLS0wSYT8kewNLRy
89,Happy Does,Kenny Chesney,happy does,kenny chesney,kenny chesney,0.715,0.665,6.0,-5.486,1.0,0.0381,0.301,0.0,0.123,0.593,109.019,2v08cjj3Th8RpfJgluECcj
90,Runnin,21 Savage & Metro Boomin,runnin,21 savage & metro boomin,21 savage metro boomin,0.819,0.626,10.0,-4.574,0.0,0.202,0.00748,0.101,0.167,0.415,143.01,5SWnsxjhdcEDc7LJjq9UHk
91,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",relacion,"sech, daddy yankee & j balvin featuring rosalia & farruko","sech, daddy yankee j balvin rosalia farruko",0.793,0.771,5.0,-3.417,1.0,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,35UUpTmrcFXNIVIN26ujXl
92,Beers And Sunshine,Darius Rucker,beers and sunshine,darius rucker,darius rucker,0.57,0.645,5.0,-5.816,1.0,0.0304,0.134,0.0,0.147,0.677,81.084,36ISlLb12gKuCCVTYXC0gb
93,Take You Dancing,Jason Derulo,take you dancing,jason derulo,jason derulo,0.789,0.711,2.0,-4.248,1.0,0.041,0.0332,0.0,0.0876,0.753,112.985,59qrUpoplZxbIZxk6X0Bm3
94,La Toxica,Farruko,la toxica,farruko,farruko,0.659,0.701,9.0,-4.107,1.0,0.164,0.0882,0.0,0.0866,0.623,91.97,15OjBeqNX3bShsGYQbteRv
95,Tap In,Saweetie,tap in,saweetie,saweetie,0.954,0.696,10.0,-7.117,0.0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD
96,Rockstar Chainz,Future,rockstar chainz,future,future,0.867,0.517,2.0,-6.914,1.0,0.307,0.0116,0.0,0.31,0.271,143.043,0NXeZp31dd0cJ9t8FdKsTg
97,Kacey Talk,YoungBoy Never Broke Again,kacey talk,youngboy never broke again,youngboy never broke again,0.877,0.607,10.0,-7.818,0.0,0.15,0.535,0.0,0.138,0.773,127.055,1SF8piqsZWn86DajVKih8F
98,Practice,DaBaby,practice,dababy,dababy,0.849,0.536,1.0,-7.307,1.0,0.349,0.0239,0.0,0.126,0.308,141.964,4Z5FyQlevoHoa5FsIVKZju
99,Bought A Bad Bitch,Future & Lil Uzi Vert,bought a bad bitch,future & lil uzi vert,future lil uzi vert,0.866,0.72,7.0,-6.641,0.0,0.0646,0.112,0.0,0.172,0.785,136.077,5syD6f38Jhckk5g9DgoCta
